,Sim time,Event
164,14.562212215711899,There occurs 2 demands. 0 overdue inventories are discarded.
165,14.623120081405142,There occurs 2 demands. 0 overdue inventories are discarded.
166,14.666892585686323,There occurs 1 demands. 0 overdue inventories are discarded.
167,14.685775732581352,There occurs 2 demands. 0 overdue inventories are discarded.
168,14.719623443988008,There occurs 3 demands. 0 overdue inventories are discarded.
169,14.791734566953792,There occurs 2 demands. 0 overdue inventories are discarded.
170,14.941791882842312,There occurs 3 demands. 0 overdue inventories are discarded.
171,14.997265504390665,There occurs 3 demands. 0 overdue inventories are discarded.
172,15.0,44 goods have arrived.
173,15.297558355076697,Order 27 goods.
174,15.368449106981569,There occurs 2 demands. 0 overdue inventories are discarded.
175,15.560779524748645,There occurs 2 demands. 0 overdue inventories are discarded.
176,15.609614931649334,There occurs 1 demands. 0 overdue inventories are discarded.
177,15.68316668290409,There occurs 2 demands. 0 overdue inventories are discarded.
178,15.694858536585377,There occurs 4 demands. 0 overdue inventories are discarded.
179,15.750987917658874,27 goods have arrived.
180,15.76608382287014,There occurs 2 demands. 0 overdue inventories are discarded.
181,15.843481708294231,There occurs 2 demands. 0 overdue inventories are discarded.
182,15.869132096311674,There occurs 3 demands. 0 overdue inventories are discarded.
183,15.869556660743429,There occurs 4 demands. 0 overdue inventories are discarded.
184,15.905984840024555,There occurs 1 demands. 0 overdue inventories are discarded.
185,15.931410903515285,There occurs 2 demands. 0 overdue inventories are discarded.
186,16.0,There occurs 3 demands. 0 overdue inventories are discarded.
187,16.02332512901368,Order 28 goods.
188,16.06334817404691,There occurs 1 demands. 0 overdue inventories are discarded.
189,16.092225998559886,There occurs 1 demands. 0 overdue inventories are discarded.
190,16.100279252882924,There occurs 3 demands. 0 overdue inventories are discarded.
191,16.138408221071987,There occurs 2 demands. 0 overdue inventories are discarded.
192,16.14157483048564,There occurs 2 demands. 0 overdue inventories are discarded.
193,16.192545327138532,There occurs 1 demands. 0 overdue inventories are discarded.
194,16.30637762497215,There occurs 3 demands. 0 overdue inventories are discarded.
195,16.603327387379153,There occurs 3 demands. 0 overdue inventories are discarded.
196,16.759214916748093,There occurs 3 demands. 0 overdue inventories are discarded.
197,16.78868592497562,28 goods have arrived.
198,16.97780602134694,There occurs 3 demands. 0 overdue inventories are discarded.
199,16.990346447018585,There occurs 2 demands. 0 overdue inventories are discarded.
200,17.0,There occurs 2 demands. 0 overdue inventories are discarded.
201,17.100271486666447,Order 26 goods.
202,17.404627777399313,There occurs 2 demands. 0 overdue inventories are discarded.
203,17.487161727964182,There occurs 3 demands. 0 overdue inventories are discarded.
204,17.638219787802768,There occurs 2 demands. 0 overdue inventories are discarded.
205,17.89969397201714,There occurs 2 demands. 0 overdue inventories are discarded.
206,17.90931506270202,26 goods have arrived.
207,18.0,There occurs 2 demands. 0 overdue inventories are discarded.
208,18.088800502169992,Order 26 goods.
209,18.129689122409076,There occurs 3 demands. 0 overdue inventories are discarded.
210,18.19154977534571,There occurs 3 demands. 0 overdue inventories are discarded.
211,18.339898735412707,There occurs 2 demands. 0 overdue inventories are discarded.
212,18.397988570307927,There occurs 2 demands. 0 overdue inventories are discarded.
213,18.414226492038917,There occurs 4 demands. 0 overdue inventories are discarded.
214,18.416883871765773,There occurs 2 demands. 0 overdue inventories are discarded.
215,18.437091271829203,There occurs 1 demands. 0 overdue inventories are discarded.
216,18.471129737985603,There occurs 3 demands. 0 overdue inventories are discarded.
217,18.829043561997555,There occurs 1 demands. 0 overdue inventories are discarded.
218,18.879552353592857,There occurs 3 demands. 0 overdue inventories are discarded.
219,18.929111971790487,There occurs 4 demands. 0 overdue inventories are discarded.
220,19.0,There occurs 1 demands. 0 overdue inventories are discarded.
221,19.09200628469153,Order 40 goods.
222,19.11933822336348,There occurs 3 demands. 0 overdue inventories are discarded.
223,19.207370935093056,There occurs 4 demands. 0 overdue inventories are discarded.
224,19.365553546349446,There occurs 2 demands. 0 overdue inventories are discarded.
225,19.48287027304924,There occurs 3 demands. 0 overdue inventories are discarded.
226,19.634045609599045,There occurs 3 demands. 0 overdue inventories are discarded.
227,19.737296655973438,There occurs 1 demands. 0 overdue inventories are discarded.
228,19.802482503176755,There occurs 3 demands. 0 overdue inventories are discarded.
229,19.803706800513893,There occurs 2 demands. 0 overdue inventories are discarded.
230,19.836289867470065,There occurs 2 demands. 0 overdue inventories are discarded.
231,19.874609392668397,There occurs 4 demands. 0 overdue inventories are discarded.
232,19.94424203833119,There occurs 2 demands. 0 overdue inventories are discarded.
233,19.99107896321628,There occurs 2 demands. 0 overdue inventories are discarded.
234,19.994574763237754,40 goods have arrived.
235,20.0,There occurs 2 demands. 0 overdue inventories are discarded.
236,20.14884149004209,Order 33 goods.
237,20.26354134497031,There occurs 2 demands. 0 overdue inventories are discarded.
238,20.340869122773306,There occurs 2 demands. 0 overdue inventories are discarded.
239,20.368473240238863,There occurs 1 demands. 0 overdue inventories are discarded.
240,20.476873006312733,There occurs 2 demands. 0 overdue inventories are discarded.
241,20.528762426340062,There occurs 2 demands. 0 overdue inventories are discarded.
242,20.659258160521624,33 goods have arrived.
243,20.837059684245276,There occurs 2 demands. 0 overdue inventories are discarded.
244,20.919047095785892,There occurs 1 demands. 0 overdue inventories are discarded.
245,20.943169926845947,There occurs 2 demands. 0 overdue inventories are discarded.
246,20.953044565803506,There occurs 4 demands. 0 overdue inventories are discarded.
247,21.0,There occurs 2 demands. 0 overdue inventories are discarded.
248,21.007978097050486,Order 33 goods.
249,21.029050275172953,There occurs 3 demands. 0 overdue inventories are discarded.
250,21.07363701788028,There occurs 3 demands. 0 overdue inventories are discarded.
251,21.080304591994032,There occurs 3 demands. 0 overdue inventories are discarded.
252,21.259915105330524,There occurs 2 demands. 0 overdue inventories are discarded.
253,21.49706820710661,There occurs 2 demands. 0 overdue inventories are discarded.
254,21.566592785278146,There occurs 2 demands. 0 overdue inventories are discarded.
255,22.0,There occurs 3 demands. 0 overdue inventories are discarded.
256,22.06383161190003,Order 38 goods.
257,22.29996934869869,There occurs 3 demands. 0 overdue inventories are discarded.
258,22.5406056635739,There occurs 3 demands. 0 overdue inventories are discarded.
259,22.62944460410733,There occurs 2 demands. 0 overdue inventories are discarded.
260,22.71844172969685,There occurs 2 demands. 0 overdue inventories are discarded.
261,22.89833509740129,There occurs 2 demands. 0 overdue inventories are discarded.
262,22.918705641844628,38 goods have arrived.
